"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"66","ENSG00000134326",19.7953005979522,416.294478379633,218.044889488793,3.4520200873762,0.251168778449002,13.7438263971057,5.54651714150019e-43,2.54341631164256e-40,16,16,34,364,331,390,"CMPK2"
"67","ENSG00000163121",1.15154682344183,215.526312965547,108.338929894494,3.98079344974941,0.292662217397219,13.6020067269101,3.89595134771022e-42,1.74399479257857e-39,4,0,0,225,194,141,"NEURL3"
"68","ENSG00000184979",782.524796434459,2419.19320919932,1600.85900281689,1.56849532204068,0.117124132451349,13.3917348134229,6.7583496113092e-41,2.95497048935405e-38,846,1059,830,2018,2285,2064,"USP18"
"69","ENSG00000128590",2482.70940595674,6963.11171308273,4722.91055951973,1.44075905306738,0.109131966616889,13.2019892771218,8.54483482855881e-40,3.65116908208487e-37,2650,3445,2598,5775,7260,5388,"DNAJB9"
"70","ENSG00000135842",86.6314198134405,777.296403814761,431.963911814101,2.74494663900643,0.21004970595385,13.0680813217112,5.01136092344421e-39,2.09374659381499e-36,130,99,74,802,612,595,"NIBAN1"
"71","ENSG00000176046",1079.73253151807,3393.27706350932,2236.50479751369,1.58712465807958,0.122011908593926,13.0079487844238,1.10262171421061e-38,4.50660670627689e-36,1182,1279,1272,2771,3290,2889,"NUPR1"
"72","ENSG00000125730",4.6228709109223,317.203355070893,160.913112990908,3.74448976581217,0.289963897723959,12.9136413022592,3.77040680696734e-38,1.50824294420836e-35,8,4,4,415,240,152,"C3"
"73","ENSG00000185507",155.099862882353,1016.81316118468,585.956512033518,2.43295491328574,0.189656758779853,12.8282004234283,1.13980943141331e-37,4.46449106666699e-35,150,206,183,615,918,1168,"IRF7"
"74","ENSG00000123240",125.535185417354,816.91859021273,471.226887815042,2.4246118833026,0.189661289778549,12.7839048555117,2.01683704284394e-37,7.73848025357323e-35,111,154,167,717,710,710,"OPTN"
"75","ENSG00000167772",559.191245496109,2962.39706620184,1760.79415584898,2.19921924331703,0.175246861158705,12.5492646702836,4.01218495949624e-36,1.50866178846977e-33,566,557,780,1974,2769,3115,"ANGPTL4"
"76","ENSG00000221963",1784.11649699681,4269.44023783898,3026.77836741789,1.22680676058582,0.0985135243709946,12.4531811080655,1.34380281832697e-35,4.95388956615005e-33,2063,2281,1877,3369,4181,3732,"APOL6"
"77","ENSG00000172183",191.544274779123,932.656523263133,562.100399021128,2.10150878464151,0.169550299335207,12.3946038012398,2.79523833841217e-35,1.01063992308629e-32,245,203,213,803,812,827,"ISG20"
"78","ENSG00000059728",748.74903450745,2854.16136352245,1801.45519901495,1.81789453700796,0.14705061614634,12.3623727982129,4.17644052760654e-35,1.48153317659492e-32,734,865,974,2257,2666,2601,"MXD1"
"79","ENSG00000204525",527.767857515513,1640.24042365395,1084.00414058473,1.56457435552145,0.127141895593054,12.305734063689,8.43658921130607e-35,2.9373391437364e-32,622,676,544,1381,1496,1431,"HLA-C"
"80","ENSG00000118503",212.153651548338,1418.29764254697,815.225647047655,2.42562300229893,0.198263994663311,12.2343091412946,2.03831722951711e-34,6.96770949675476e-32,264,271,207,1605,1160,888,"TNFAIP3"
"81","ENSG00000163683",1149.3164782972,3024.7261291524,2087.0213037248,1.35079807292336,0.110564641878405,12.2172699153579,2.51385700216717e-34,8.43982598174018e-32,1291,1500,1219,2517,3023,2444,"SMIM14"
"82","ENSG00000171246",79.6633919080701,833.833580728709,456.74848631839,2.80499432986261,0.233138724408697,12.0314389511088,2.42890173529584e-33,8.01154061847318e-31,112,118,54,373,862,1012,"NPTX1"
"83","ENSG00000156453",267.659235411003,950.161447416776,608.910341413889,1.72548485904795,0.143744595493411,12.0038242350965,3.3925089696363e-33,1.09969932996779e-30,298,347,288,723,906,882,"PCDH1"
"84","ENSG00000234745",132.35919420975,651.201454826321,391.780324518035,2.09088404180721,0.176797976606929,11.8264025524219,2.85100657462085e-32,9.08504654397399e-30,144,206,119,532,583,596,"HLA-B"
"85","ENSG00000134321",6.02185757675003,928.570116419247,467.295986997999,3.59695787147268,0.305362588926855,11.7793010732375,4.99051567914106e-32,1.55122023459384e-29,14,4,3,887,714,806,"RSAD2"
"86","ENSG00000144655",797.807350972262,2834.04656557011,1815.92695827119,1.72321014747502,0.146300239022227,11.7785873693153,5.03294688102889e-32,1.55122023459384e-29,813,920,1012,2388,2952,2153,"CSRNP1"
"87","ENSG00000101384",8124.0948517743,18138.8932072334,13131.4940295038,1.13071137187444,0.0960735089423213,11.7692315428311,5.62344170580691e-32,1.70526334694961e-29,8816,10547,8931,14576,17383,15887,"JAG1"
"88","ENSG00000131016",187.286216787922,1100.76187385719,644.024045322555,2.27901233345827,0.193864981778119,11.7556678496307,6.60365429470874e-32,1.97071911737808e-29,193,226,228,659,943,1316,"AKAP12"
"89","ENSG00000056558",95.6763628271519,804.629034105444,450.152698466298,2.60308264088852,0.223474455161967,11.6482335262967,2.3426452627733e-31,6.88188649771888e-29,54,141,136,673,801,649,"TRAF1"
"90","ENSG00000115415",5164.0637316574,13382.4201699748,9273.24195081609,1.32531122256375,0.115137756554694,11.5106569922977,1.16586799777433e-30,3.37222834248541e-28,5566,7152,5367,9067,12831,13624,"STAT1"
"91","ENSG00000169429",1.90637906346576,178.615326513111,90.2608527882883,3.44454394998169,0.29945120129446,11.5028556742859,1.27621905107568e-30,3.63548399685969e-28,4,3,0,210,146,103,"CXCL8"
"92","ENSG00000026559",1964.70470932775,4453.94739299788,3209.32605116281,1.14945533939602,0.100166993442703,11.4753902447269,1.75384615220414e-30,4.92150171755076e-28,2187,2605,2070,3601,4279,3867,"KCNG1"
"93","ENSG00000131018",1485.76357255147,4205.67147034745,2845.71752144946,1.43585235079619,0.127164991228886,11.291255061008,1.44951924066564e-29,3.94962481793546e-27,1821,1791,1556,3781,3604,3598,"SYNE1"
"94","ENSG00000102580",4394.04949447436,10110.7835396502,7252.41651706227,1.16786493432063,0.103838870064914,11.2468956334998,2.39887140507837e-29,6.44302589812548e-27,5109,5926,4362,8620,10215,7841,"DNAJC3"
"95","ENSG00000130589",2898.58497202796,7515.1023119052,5206.84364196658,1.32319878452749,0.118122052231636,11.2019623730606,3.98800289419271e-29,1.0560344001932e-26,3560,3857,2751,5213,6999,7692,"HELZ2"
