"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MFAP4",0.16492571442292,0.944884075392947,4.0804728567969,0.231562396945991,0.816877916572544,NA
"MFAP5",2.30720021259319,4.64732732067716,2.88852760037014,1.60889143662039,0.107640082295627,NA
"MFF",30.8295753441211,0.105253088780131,0.465775464342639,0.225973879772042,0.821221735817586,0.99882213502179
"MFGE8",35.4813906350644,1.17023720518266,0.602058040501011,1.94372822296142,0.0519282333371481,0.942269931188559
"MFHAS1",6.50322530735006,-0.101844761902296,0.908571469585473,-0.112093286341868,0.910749440600949,NA
"MFI2",19.5061428831479,2.54832662739663,2.02748985592165,1.25688748575179,NA,NA
"MFN1",15.7434537057758,-0.227083973436066,0.515609910901656,-0.440418170083194,0.659634267243561,0.99882213502179
"MFN2",32.692566765134,0.433228128192136,0.418677937663932,1.03475270421314,0.300784415669793,0.99882213502179
"MFNG",0.170203102335992,-0.978669276249542,4.0804728567969,-0.239842123840956,0.810452649767396,NA
"MFSD1",20.69252061165,0.86446321639785,0.493171767372889,1.75286436407911,0.079625291799216,0.99882213502179
"MFSD10",24.8808643239997,-0.321204879790638,0.53293616490127,-0.60270798070186,0.546702971474911,0.99882213502179
"MFSD11",5.99222134025978,0.458814429946447,0.862628450893049,0.531879547296931,0.594809423660204,NA
"MFSD12",22.6083280461661,-0.317819580096622,0.475251258566027,-0.668740112452468,0.503661274954443,0.99882213502179
"MFSD2A",2.95700181469899,0.0047039627938365,1.34104429474335,0.00350768636970098,0.997201276940663,NA
"MFSD3",10.1527068603477,0.211851465236414,0.685531164634028,0.309032581107398,0.757296742884925,0.99882213502179
"MFSD5",15.5836824890929,0.541334160758316,0.567977499718272,0.953090854878633,0.340544039276139,0.99882213502179
"MFSD6",4.32833659460933,-0.0244527571345867,1.11670392695112,-0.0218972608087346,0.98252990981034,NA
"MFSD7",0,NA,NA,NA,NA,NA
"MFSD8",3.48134851303884,0.397752157847121,1.09642263062439,0.362772663330208,0.716774714245291,NA
"MFSD9",2.9674500668337,-0.326329841883333,1.15630966058239,-0.282216652690572,0.777777390095184,NA
"MGA",11.0495626406865,-0.305327200254526,0.761340354043106,-0.401039034162688,0.68839138541383,0.99882213502179
"MGAM",0.825114183525585,3.16373269232707,3.95963748842119,0.798995539763042,0.424292998248181,NA
"MGARP",0,NA,NA,NA,NA,NA
"MGAT1",26.9346417599463,0.369914016133442,0.462262066259789,0.800225766147014,0.423580003888359,0.99882213502179
"MGAT2",31.0073013061381,0.401927644091249,0.39201955838794,1.02527446779455,0.305233699512051,0.99882213502179
